Country,University Name,University Score,Diversity Score
UK,Swansea University,61.263,73.020
Ireland,University College Cork,61.195,83.231
France,Universite Cote d`Azur (ComUE),60.320,47.168
Spain,Polytechnic University of Valencia,60.313,54.594
UK,Goldsmiths College,60.201,71.444
France,Toulouse School of Management,59.634,54.532
Italy,Polytechnic University of Turin,59.532,56.620
Norway,University of Tromso,59.365,65.916
UK,Aberystwyth University,59.213,71.937
UK,University of Stirling,58.680,76.060
Hungary,University of Debrecen,58.618,61.916
Lithuania,Vilnius University,58.077,38.985
Italy,University of Brescia,57.812,47.106
UK,Keele University,57.499,65.206
Spain,University of Valencia,57.424,53.177
Germany,Frankfurt School of Finance and Management,57.300,69.985
Hungary,University of Szeged,57.030,58.080
Ireland,University of Limerick,56.569,53.636
Italy,Universita della Svizerra Italiana,56.435,42.165
Italy,University of Ferrara,56.141,34.323
Italy,Padova University,56.135,88.122
UK,Politecnico di Milano,56.107,58.409
Italy,University of Hull,56.107,76.060
Italy,Politecnico di Torino,56.104,52.409
Spain,Charles III University of Madrid,56.047,68.335
Spain,University of Rovira i Virgili,55.769,55.445
UK,University of Plymouth,55.667,70.898
France,University de Lorraine,55.575,69.585
Hungary,Eotvos Lorand University,55.506,62.755
Slovenia,University of Ljubljana,55.139,50.915
Spain,University of Santiago de Compostela,54.893,50.304
Italy,University of Palermo,54.754,30.586
Spain,Polytechnic University of Madrid,54.627,54.613
UK,Oxford Brookes University,53.809,78.122
Spain,Complutense University of Madrid,53.792,57.538
Hungary,University of Pecs,53.565,45.177
UK,Aston University,53.549,79.873
Ireland,Dublin City University,53.297,78.163
UK,Liverpool John Moores University,53.215,70.933
Italy,Ca`Foscari University of Venice,53.107,59.372
Italy,University of Turin,52.079,51.638
Greece,University of Crete,52.028,47.669
Italy,University of Rome III,51.688,53.324
Italy,University of Salento,51.320,34.243
UK,University of Bradford,51.237,70.140
Spain,University of Alcala,51.094,60.737
UK,Northumbria University,51.057,69.950
Spain,University of the Basque Country,50.514,44.239
France,IMT Mines Albi,50.252,57.789
Spain,University of Zaragoza,50.107,43.867
Italy,Universita Cattolica del Sacro Cuore,49.854,52.235
UK,University of Portsmouth,49.790,76.339
UK,University of Ulster,49.622,68.127
Spain,University of Salamanca,49.362,56.238
